epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,26884,0.57544,2.30607,0.21682,0.35028,1.04748,0.97579,0.98002,0.99146,0.91007,0.8809,0.85886,0.87672,0.74164,0.51077,1.69146,0.04165,0.25131,0.95256,0.001783,0.001783,0.001783
85,27206.4,0.57741,2.30945,0.2169,0.35263,1.04702,0.97578,0.98015,0.99148,0.91058,0.88122,0.85938,0.87739,0.74234,0.51008,1.68815,0.04155,0.25095,0.95206,0.001684,0.001684,0.001684
86,27527.8,0.5782,2.2984,0.2175,0.34992,1.04911,0.9763,0.98015,0.9915,0.91066,0.88056,0.85899,0.87722,0.74299,0.50964,1.68507,0.0415,0.25065,0.95165,0.001585,0.001585,0.001585
87,27850.4,0.57354,2.28465,0.21604,0.34723,1.04432,0.9763,0.98028,0.99152,0.91109,0.88365,0.85822,0.87783,0.74343,0.50922,1.68168,0.0414,0.25054,0.95133,0.001486,0.001486,0.001486
88,28173.8,0.56673,2.24883,0.21237,0.34438,1.04344,0.97579,0.98083,0.99155,0.91134,0.88303,0.85835,0.87816,0.74403,0.5086,1.67819,0.04134,0.25004,0.9508,0.001387,0.001387,0.001387
89,28495.9,0.56659,2.23041,0.21452,0.34447,1.04475,0.97581,0.98146,0.99156,0.91148,0.88291,0.85848,0.87841,0.7452,0.50805,1.67441,0.04125,0.24989,0.95035,0.001288,0.001288,0.001288
90,28819.1,0.56738,2.22214,0.21396,0.342,1.04402,0.97631,0.98159,0.99157,0.91166,0.88305,0.85873,0.87883,0.74577,0.50759,1.67114,0.04115,0.24955,0.95004,0.001189,0.001189,0.001189
91,29141.4,0.46198,1.6561,0.06835,0.25117,0.98299,0.97668,0.98147,0.9916,0.91214,0.88423,0.85793,0.87918,0.74662,0.50675,1.66736,0.04082,0.2491,0.94934,0.00109,0.00109,0.00109
92,29461.9,0.45378,1.60171,0.06545,0.24188,0.97546,0.97685,0.98181,0.99161,0.91265,0.88471,0.86053,0.88048,0.74742,0.50567,1.66276,0.04046,0.24863,0.94852,0.000991,0.000991,0.000991
93,29782.3,0.44718,1.57901,0.06327,0.24022,0.97368,0.97705,0.98194,0.99162,0.91318,0.88524,0.86078,0.88109,0.74879,0.50471,1.65823,0.04014,0.24845,0.94782,0.000892,0.000892,0.000892
94,30102,0.44057,1.5501,0.06163,0.2348,0.96857,0.97716,0.98169,0.99163,0.91344,0.8855,0.86069,0.88115,0.74953,0.50352,1.65302,0.03972,0.24802,0.94686,0.000793,0.000793,0.000793
95,30420.3,0.43615,1.53748,0.06213,0.23419,0.96677,0.97762,0.98156,0.99163,0.91376,0.88579,0.8612,0.88169,0.75066,0.5023,1.6482,0.03924,0.24745,0.94585,0.000694,0.000694,0.000694
96,30740.2,0.43403,1.50819,0.06176,0.23218,0.96497,0.97818,0.98159,0.99164,0.91415,0.88722,0.86249,0.88295,0.75262,0.50115,1.64354,0.03886,0.24697,0.94492,0.000595,0.000595,0.000595
97,31060,0.42848,1.47901,0.05895,0.22768,0.96143,0.97818,0.98158,0.99167,0.91455,0.88725,0.86274,0.88358,0.75383,0.50013,1.6385,0.0384,0.2463,0.94419,0.000496,0.000496,0.000496
98,31379.6,0.42519,1.46249,0.05864,0.22712,0.96089,0.97801,0.98181,0.99169,0.91488,0.89034,0.86309,0.88561,0.75496,0.49908,1.63345,0.03796,0.24572,0.9434,0.000397,0.000397,0.000397
99,31699.2,0.42085,1.44583,0.05909,0.22383,0.95715,0.97825,0.98181,0.9917,0.91545,0.8903,0.86437,0.88818,0.756,0.49801,1.62816,0.03753,0.24526,0.94248,0.000298,0.000298,0.000298
100,32018.3,0.41797,1.43201,0.05825,0.22157,0.95951,0.9787,0.98169,0.99172,0.91589,0.89121,0.86514,0.88906,0.75713,0.49684,1.62265,0.03708,0.24487,0.94162,0.000199,0.000199,0.000199
